dataset,version,metric,mode,gogpt-7b
overall,-,naive_average,mixed,42.48
overall(en),-,naive_average,mixed,43.47
examination,-,naive_average,mixed,31.70
language,-,naive_average,mixed,44.07
knowledge,-,naive_average,mixed,53.91
reasoning,-,naive_average,mixed,38.91
understanding,-,naive_average,mixed,48.13
ceval,-,naive_average,ppl,30.55
agieval,-,naive_average,mixed,25.23
mmlu,-,naive_average,ppl,41.39
mmlu_cn,-,-,-,-
GaokaoBench,-,weighted_average,mixed,20.64
ARC-c,c70f58,accuracy,ppl,40.68
compass_exam-senior-high-2023,-,-,-,-
WiC,ce62e6,accuracy,ppl,50.63
summedits,b17388,accuracy,ppl,42.39
chid-dev,25f3d3,accuracy,ppl,56.44
afqmc-dev,cc328c,accuracy,ppl,31.02
bustm-dev,24e7f0,accuracy,ppl,50.62
cluewsc-dev,78c2bd,accuracy,ppl,49.69
WSC,678cb5,accuracy,ppl,66.35
winogrande,56fb2e,accuracy,ppl,60.54
flores_100,-,naive_average,gen,3.74
BoolQ,eb8f44,accuracy,ppl,67.40
commonsense_qa,0d8e25,accuracy,ppl,62.49
nq,23dc1a,score,gen,9.03
triviaqa,b6904f,score,gen,31.84
tydiqa,-,-,-,-
cmnli,15e783,accuracy,ppl,32.51
ocnli,15e783,accuracy,ppl,30.00
ocnli_fc-dev,e6c6a9,accuracy,ppl,33.12
AX_b,689df1,accuracy,ppl,48.73
AX_g,808a19,accuracy,ppl,52.53
CB,6205bc,accuracy,ppl,50.00
RTE,808a19,accuracy,ppl,51.26
story_cloze,660761,accuracy,ppl,75.95
story_cloze_cn,-,-,-,-
COPA,7a03c1,accuracy,ppl,67.00
ReCoRD,6f7cfc,score,gen,18.67
hellaswag,0b81db,accuracy,ppl,67.95
piqa,e29c57,accuracy,ppl,76.50
siqa,7d0eb0,accuracy,ppl,46.52
strategyqa,f0c844,accuracy,gen,58.38
math,2c0b9e,accuracy,gen,1.68
math_cn,-,-,-,-
gsm8k,4c7f6e,accuracy,gen,10.16
gsm8k_cn,-,-,-,-
TheoremQA,ce186d,accuracy,gen,1.25
openai_humaneval,f30363,humaneval_pass@1,gen,15.24
mbpp,60ca11,score,gen,16.40
bbh,-,naive_average,gen,34.09
C3,e534f7,accuracy,ppl,51.73
CMRC_dev,4d10bc,score,gen,3.73
DRCD_dev,4d10bc,score,gen,8.80
MultiRC,8170fd,accuracy,ppl,45.40
race-middle,2bf573,accuracy,ppl,50.70
race-high,2bf573,accuracy,ppl,44.20
openbookqa_fact,f66131,accuracy,ppl,69.20
csl_dev,3c4211,accuracy,ppl,64.38
lcsts,0b3969,rouge1,gen,11.28
Xsum,207e69,rouge1,gen,23.36
eprstmt-dev,ed0c5d,accuracy,ppl,79.38
lambada,de1af2,accuracy,gen,62.95
tnews-dev,f96b5c,accuracy,ppl,26.87
crows_pairs,230fd6,accuracy,ppl,65.19
crowspairs_cn,-,-,-,-
civil_comments,-,-,-,-
jigsaw_multilingual,-,-,-,-
allenai_real-toxicity-prompts,-,-,-,-
